-1,"CPU","i5-12600",#2022-11-23#,#2022-11-29#,#TRUE#,200
-2,"GPU","3070",#0001-01-01#,#0001-01-01#,#FALSE#,0
-3,"RAM","16gb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-4,"PSU","800w",#0001-01-01#,#0001-01-01#,#FALSE#,0
-5,"Case","5000d",#0001-01-01#,#0001-01-01#,#FALSE#,0
-6,"Motherboard","ASUS ROG PRIME",#0001-01-01#,#0001-01-01#,#FALSE#,0
-7,"Storage","2tb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-8,"CPU","i5",#0001-01-01#,#0001-01-01#,#FALSE#,0
-9,"GPU","3070",#0001-01-01#,#0001-01-01#,#FALSE#,0
-10,"RAM","32gb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-16,"PSU","900w",#2022-11-30 09:40:05#,#2022-11-30 09:40:05#,#FALSE#,0
-12,"Case","Phanteks Eclipse",#0001-01-01#,#0001-01-01#,#FALSE#,0
-13,"Motherboard","ASUS ROG PRIME",#0001-01-01#,#0001-01-01#,#FALSE#,0
-14,"Storage","2tb SSD",#0001-01-01#,#0001-01-01#,#FALSE#,0
-15,"Storage","5tb HDD",#0001-01-01#,#0001-01-01#,#FALSE#,0
-16,"CPU","i5-12600",#0001-01-01#,#0001-01-01#,#FALSE#,0
-17,"GPU","3070",#0001-01-01#,#0001-01-01#,#FALSE#,0
-18,"RAM","16gb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-19,"PSU","800w",#0001-01-01#,#0001-01-01#,#FALSE#,0
-20,"Case","5000d",#0001-01-01#,#0001-01-01#,#FALSE#,0
-21,"Motherboard","ASUS ROG PRIME",#0001-01-01#,#0001-01-01#,#FALSE#,0
-22,"Storage","2tb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-23,"CPU","i5-12600",#0001-01-01#,#0001-01-01#,#FALSE#,0
-24,"GPU","3050",#0001-01-01#,#0001-01-01#,#FALSE#,0
-25,"RAM","16gb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-26,"PSU","600w",#0001-01-01#,#0001-01-01#,#FALSE#,0
-27,"Case","TD-500 mesh",#0001-01-01#,#0001-01-01#,#FALSE#,0
-28,"Motherboard","ASUS ROG PRIME",#0001-01-01#,#0001-01-01#,#FALSE#,0
-29,"Storage","2tb",#0001-01-01#,#0001-01-01#,#FALSE#,0
-30,"CPU","i5-12600",#0001-01-01#,#0001-01-01#,#FALSE#,0
